trajectory_id,source_trajectory_id,num_keyframes,duration_sec,start_raw_score,end_raw_score,score_gain,start_node_id,endpoint_node_id,path_xyz_length,net_xyz_distance,bbox_diag,max_xyz_step,mean_xyz_step,total_yaw_change,max_yaw_step,total_pitch_change,max_pitch_step,max_abs_score_step,physical_path_signature
scene_1_1_low_to_high_00025,scene_1_1_traj_00025,80,15.8,5.800926,7.127104,1.326178,scene_1|scene_1.1_y01_medium_dense_y01_0p60|446|21,scene_1|scene_1.1_y02_medium_dense_y02_1p86|2666|17,20.728331,20.728331,,0.262384,0.262384,90.0,1.139241,0.0,0.0,0.052006,3749e327f5a2a17599e1af6fef9cd294189eb553
scene_1_1_low_to_high_00026,scene_1_1_traj_00026,80,15.8,3.820549,7.127104,3.306555,scene_1|scene_1.1_y01_medium_dense_y01_0p60|167|8,scene_1|scene_1.1_y02_medium_dense_y02_1p86|2666|17,46.569549,46.569549,,0.589489,0.589488,105.0,1.329114,45.0,0.569621,0.129667,045dd55313d5d68f5d3d5a24e36e44dff246202f
scene_1_1_low_to_high_00027,scene_1_1_traj_00027,80,15.8,4.526877,7.127104,2.600227,scene_1|scene_1.1_y01_medium_dense_y01_0p60|2013|92,scene_1|scene_1.1_y02_medium_dense_y02_1p86|2666|17,47.174397,47.174397,,0.597145,0.597144,15.0,0.189874,45.0,0.569621,0.101968,2d23c14c07a8fa7b5853e5bd2e3e670546fff099
scene_1_1_low_to_high_00028,scene_1_1_traj_00028,80,15.8,2.763468,7.127104,4.363636,scene_1|scene_1.1_y01_medium_dense_y01_0p60|2018|92,scene_1|scene_1.1_y02_medium_dense_y02_1p86|2666|17,47.174397,47.174397,,0.597145,0.597144,75.0,0.949368,45.0,0.569621,0.17112,e6a5212f6fcedc01fc9d9eba92b9a12324e67332
scene_1_1_low_to_high_00029,scene_1_1_traj_00029,80,15.8,3.013196,7.127104,4.113908,scene_1|scene_1.1_y01_medium_dense_y01_0p60|2068|94,scene_1|scene_1.1_y02_medium_dense_y02_1p86|2666|17,37.003669,37.003669,,0.468401,0.468401,135.0,1.708861,90.0,1.139241,0.161327,0dce34284856e9bf41cbfc2ab1e01016a2054891
scene_1_1_low_to_high_00030,scene_1_1_traj_00030,80,15.8,2.412693,7.127104,4.714411,scene_1|scene_1.1_y04_medium_dense_y04_4p39|7149|10,scene_1|scene_1.1_y02_medium_dense_y02_1p86|2666|17,36.295784,36.295784,,0.459441,0.45944,135.0,1.708861,90.0,1.139241,0.184876,0bf660f03e6665e4036d2a6d3dc8ee130a3f4767
scene_1_1_low_to_high_00031,scene_1_1_traj_00031,80,15.8,5.069326,7.127104,2.057778,scene_1|scene_1.1_y04_medium_dense_y04_4p39|8933|92,scene_1|scene_1.1_y02_medium_dense_y02_1p86|2666|17,47.225386,47.225386,,0.597791,0.59779,135.0,1.708861,0.0,0.0,0.080696,8a0b7c1fe34621ec41af4df5f2da45f162193e40
scene_1_1_low_to_high_00032,scene_1_1_traj_00032,80,15.8,4.839584,7.127104,2.28752,scene_1|scene_1.1_y03_medium_dense_y03_3p13|4789|8,scene_1|scene_1.1_y02_medium_dense_y02_1p86|2666|17,46.56982,46.56982,,0.589492,0.589491,135.0,1.708861,45.0,0.569621,0.089705,fffd2cf4d6a708410829129cc0883f4dcaad06bf
scene_1_1_low_to_high_00033,scene_1_1_traj_00033,80,15.8,5.30612,7.127104,1.820984,scene_1|scene_1.1_y04_medium_dense_y04_4p39|8012|50,scene_1|scene_1.1_y02_medium_dense_y02_1p86|2666|17,46.772977,46.772977,,0.592064,0.592063,0.0,0.0,0.0,0.0,0.07141,c00b8d4dc2ca28377bc82b710b814164b25f6485
scene_1_1_low_to_high_00034,scene_1_1_traj_00034,80,15.8,4.912722,7.127104,2.214382,scene_1|scene_1.1_y04_medium_dense_y04_4p39|9015|95,scene_1|scene_1.1_y02_medium_dense_y02_1p86|2666|17,32.035496,32.035496,,0.405514,0.405513,15.0,0.189874,45.0,0.569621,0.086837,48cfc9fecc021f7048a80da7dfdcb05c1846c45a
