trajectory_id,overlap_group_id,overlap_group_index,overlap_group_member_index,keyframe_count,duration_sec,start_score,end_score,score_gain,score_change,score_drop,min_real_score_step,max_real_score_step,route_objective,path_xyz_length,net_xyz_distance,path_to_net_ratio,target_distance_increase_step_count,target_distance_total_increase,planning_target_distance_total_increase,near_revisit_pair_count,minimum_nonadjacent_distance,maximum_pairwise_route_overlap_fraction,nearest_selected_start_distance,total_yaw_change,total_pitch_change,max_control_turn_deg,physical_geometry_signature,real_node_path_signature
scene_1_1_true_gain2_no_backtrack_balanced_00270,,,,8,11.689657,4.590255,7.127104,2.536849,2.536849,,0.240667,0.449242,30.701688,25.717245,22.162534,1.160393,0,0.0,0.0,0,1.716606,0.571429,0.0,105.0,45.0,99.570974,62fa426facef2405b0567a26974c76bb511f0e90,570c3cf8130fc910dcfb47561c8c618915ad7828
scene_1_1_true_gain2_no_backtrack_balanced_00271,,,,7,11.530428,5.10876,7.127104,2.018344,2.018344,,0.078369,0.449652,29.247505,24.774443,20.928947,1.183741,1,0.252466,0.252466,0,5.1725,0.528302,1.26,180.0,0.0,97.259537,9311554c8b35ace2e97a575bf614bf93ad884f5e,05d2a8290b7f6d3a5a5aafe06e98f18c1a71519f
scene_1_1_true_gain2_no_backtrack_balanced_00272,,,,10,11.476821,4.034225,7.127104,3.092879,3.092879,,0.171745,0.449242,29.491054,22.456311,16.017354,1.401999,1,0.050425,0.050425,0,1.59682,0.541667,0.0,195.0,45.0,99.183931,b11c4a60590474d5c4553e88cdc634b717cd3e9b,93440c9947b95432669ca1f382b6ec66ea7e450b
scene_1_1_true_gain2_no_backtrack_balanced_00273,,,,8,10.973057,4.529691,7.127104,2.597414,2.597414,,0.251156,0.449242,27.101273,21.230985,16.562004,1.281909,1,0.143922,0.143922,0,1.716606,0.511111,0.0,135.0,45.0,99.570974,b85852d52981ee9bb545bdf1a0f53f8fff73e41c,0fa65b85ca373534a4370bd5c51b8d810600ec73
scene_1_1_true_gain2_no_backtrack_balanced_00274,,,,9,10.874325,4.354647,7.127104,2.772458,2.772458,,0.153105,0.449242,28.865398,22.181268,15.5175,1.429436,1,0.204895,0.204895,0,1.716606,0.519231,0.0,105.0,45.0,99.570974,4b1c48b7cc3db4f89b583ac2168aa165837a5897,c43e60cba78ad2a229aa3501406f96e278e94a74
scene_1_1_true_gain2_no_backtrack_balanced_00275,,,,8,15.937746,4.271966,7.127104,2.855139,2.855139,,0.357809,0.449242,39.767146,35.06304,32.035496,1.094506,0,0.0,0.0,0,5.323754,0.513158,0.0,165.0,45.0,97.055393,595184fb87bad5b7e5533ef025577d5f84e4bc63,2aa6ba82d4c86e7ea50a134c9cda074093e438a7
scene_1_1_true_gain2_no_backtrack_balanced_00276,,,,7,9.977695,5.090493,7.127104,2.036612,2.036612,,0.135617,0.449242,24.868932,21.358428,15.568571,1.371894,0,0.0,0.0,0,3.765,0.534884,0.0,45.0,0.0,97.055393,f2caf0caa38bf41bded235d1fd50b38e2827b1b1,44d33ca3bec3485318dc0cfae46ef98b18f6124e
scene_1_1_true_gain2_no_backtrack_balanced_00277,,,,9,10.335093,4.548076,7.127104,2.579028,2.579028,,0.15406,0.449242,28.10151,21.934966,17.248006,1.271739,0,0.0,0.0,0,1.716606,0.584906,0.0,195.0,45.0,99.570974,0d445b613f3f0e6366c844a403ca5d2259c46292,866b953b0cbc8598778348c4ec6806fc24c8cb15
scene_1_1_true_gain2_no_backtrack_balanced_00278,,,,10,14.886044,4.542516,7.127104,2.584589,2.584589,,0.171745,0.449242,37.723699,32.646602,31.035,1.051929,0,0.0,0.0,0,2.613462,0.574074,2.265261,195.0,45.0,96.23172,172309bff36698805c94a9a8dc0190f6c94e933b,17dc3ffc653dbf9e79553bd113634ae1404ae8c4
scene_1_1_true_gain2_no_backtrack_balanced_00279,,,,9,10.397123,4.619138,7.127104,2.507966,2.507966,,0.098701,0.449242,27.939057,22.873671,17.293967,1.322639,0,0.0,0.0,0,1.716606,0.542373,0.0,105.0,45.0,99.570974,0da860a53238a4f94fba54160a67595572e02ca6,0ae91855592f0f8d1c0f6d7cf4593275deaec8db
