index,timestamp_sec,x,y,z,yaw,pitch,fov
43,2154.443000,24.389000692,13.248271855,-324.873302621,20.342794195,-0.002999987,160.000000000
44,2154.825000,19.603451406,13.233871938,-325.245206507,20.342794195,-0.002999987,160.000000000
45,2155.179000,14.817902119,13.219472022,-325.617110393,20.342794195,-0.002999987,160.000000000
46,2155.640000,8.835965511,13.201472126,-326.081990250,20.342794195,-0.002999987,160.000000000
47,2156.154000,1.794029730,13.180772246,-324.522914851,20.342794195,-0.002999987,160.000000000
48,2156.616000,-4.579980099,13.161872355,-323.814645996,20.342794195,-0.002999987,160.000000000
49,2157.032000,-9.365529385,13.147472439,-324.186549882,20.342794195,-0.002999987,160.000000000
50,2157.495000,-13.253788180,13.135772507,-324.488721789,20.342794195,-0.002999987,160.000000000
51,2157.930000,-16.842950145,13.124972569,-324.767649703,20.342794195,-0.002999987,160.000000000
52,2161.047000,-17.142046976,15.599072673,-324.790893696,21.995794209,0.021000013,160.000000000
53,2161.240000,-17.142046976,15.899072685,-324.790893696,21.995794209,0.021000013,160.000000000
54,2161.702000,-17.142046976,16.649072715,-324.790893696,21.995794209,0.021000013,160.000000000
55,2162.162000,-17.142046976,17.549072750,-324.790893696,21.995794209,0.021000013,160.000000000
56,2162.627000,-17.142046976,18.749072798,-324.790893696,21.995794209,0.021000013,160.000000000
57,2163.110000,-17.142046976,19.874072843,-324.790893696,21.995794209,0.021000013,160.000000000
58,2163.650000,-17.142046976,21.149072894,-324.790893696,21.995794209,0.021000013,160.000000000
59,2164.094000,-17.142046976,22.424072944,-324.790893696,21.995794209,0.021000013,160.000000000
60,2164.593000,-17.142046976,23.999073007,-324.790893696,21.995794209,0.021000013,160.000000000
61,2165.100000,-17.142046976,25.499073066,-324.790893696,21.995794209,0.021000013,160.000000000
62,2165.659000,-17.142046976,26.174073093,-324.790893696,21.995794209,0.021000013,160.000000000
