trajectory_id,overlap_group_id,overlap_group_index,overlap_group_member_index,keyframe_count,duration_sec,start_score,end_score,score_gain,score_change,score_drop,min_real_score_step,max_real_score_step,route_objective,path_xyz_length,net_xyz_distance,path_to_net_ratio,target_distance_increase_step_count,target_distance_total_increase,planning_target_distance_total_increase,near_revisit_pair_count,minimum_nonadjacent_distance,maximum_pairwise_route_overlap_fraction,nearest_selected_start_distance,total_yaw_change,total_pitch_change,max_control_turn_deg,physical_geometry_signature,real_node_path_signature
scene_1_1_true_gain2_no_backtrack_balanced_02484,,,,8,11.99888,4.362501,7.127104,2.764604,2.764604,,0.30408,0.449242,28.119083,22.492536,17.248006,1.304066,2,0.247729,0.247729,0,1.716606,,,135.0,45.0,99.570974,5fadcc2883fcba569fe2985634d788dc5705635c,cab3d831c48e3b03abcc9d091863483a4142b370
scene_1_1_true_gain2_no_backtrack_balanced_02485,,,,10,16.304711,3.96771,7.127104,3.159394,3.159394,,0.189678,0.449242,41.059696,35.870365,31.035,1.155804,1,0.082561,0.082561,0,2.613462,,,135.0,45.0,96.23172,71a0d9f2906509d3e84f4f41a61c898942f464ae,f07cd86e46641ee142d3ec2a7515826a4958ce84
scene_1_1_true_gain2_no_backtrack_balanced_02486,,,,10,17.633563,4.203208,7.127104,2.923896,2.923896,,0.154586,0.449242,43.192296,38.691144,36.666946,1.055205,0,0.0,0.0,0,2.613462,,,135.0,45.0,96.23172,1feb974b993c3f00fd9e84e2c499995ef9b3689c,7cdd1af4796b26f851cb1f13ccfb6a513b5c894a
scene_1_1_true_gain2_no_backtrack_balanced_02487,,,,10,12.330486,4.275846,7.127104,2.851259,2.851259,,0.098701,0.449242,33.546888,25.912069,20.775464,1.247244,1,0.051884,0.051884,0,1.716606,,,195.0,45.0,99.570974,bc8518f3e15c83bc505372b6ed96db4d4abeb8bc,54420bc9fc2b6aa06e2790b05ba3f002e01c3e74
scene_1_1_true_gain2_no_backtrack_balanced_02488,,,,9,11.466978,4.541723,7.127104,2.585382,2.585382,,0.058813,0.44645,30.078308,22.839373,15.569384,1.466941,0,0.0,0.0,0,1.680727,,,225.0,0.0,90.703777,6ee7cdae66522b7c87f31deec160a9ac04f938a2,b850c359d604971d1b40e900237048475e4d3e56
scene_1_1_true_gain2_no_backtrack_balanced_02489,,,,11,15.082901,3.41598,7.127104,3.711124,3.711124,,0.263701,0.449242,36.76718,29.899881,20.728331,1.442465,0,0.0,0.0,0,1.716606,,,165.0,45.0,99.570974,230903f8d9b18a2fe0b77c62b86377e8797b6902,8b0f66201284174675ed12fe3a0bb628f5fbc797
scene_1_1_true_gain2_no_backtrack_balanced_02490,,,,9,11.203236,4.331651,7.127104,2.795454,2.795454,,0.098701,0.449242,30.056732,23.21712,17.293967,1.342498,1,0.000731,0.000731,0,1.716606,,,195.0,45.0,99.570974,925639ce6c3d2e9b5dc7f77fde4ec32a24d5f770,7aa641c7d9359d058c74c8564aba5c372f9158d4
scene_1_1_true_gain2_no_backtrack_balanced_02491,,,,9,12.841808,4.084587,7.127104,3.042517,3.042517,,0.217685,0.449242,31.906992,22.647817,15.681971,1.444195,0,0.0,0.0,0,1.716606,,,255.0,135.0,99.570974,8de4f71de6406546f051ac4c61636f187be4f5f9,68bc3e64516247266a0273071659e5ee0461bd8b
scene_1_1_true_gain2_no_backtrack_balanced_02492,,,,10,12.749292,4.009774,7.127104,3.117331,3.117331,,0.15406,0.449242,32.929247,26.630942,21.484489,1.239543,0,0.0,0.0,0,1.716606,,,135.0,45.0,99.570974,6d713b94490fb161502f3197a36f73d989fe9606,105f0b621bb2302d541651326fd425cd908f8a22
scene_1_1_true_gain2_no_backtrack_balanced_02493,,,,10,11.630212,3.785051,7.127104,3.342053,3.342053,,0.098701,0.449242,30.811985,23.508966,15.967718,1.472281,0,0.0,0.0,0,1.716606,,,165.0,45.0,99.570974,37bb1549ea2e2832823e530e7613803ca17d713c,687455c9fc67ed6028a712eab9ec56154000b835
scene_1_1_true_gain2_no_backtrack_balanced_02494,,,,9,11.011092,4.609984,7.127104,2.51712,2.51712,,0.171745,0.449242,30.275076,24.121709,21.484489,1.12275,0,0.0,0.0,0,1.59682,,,195.0,45.0,96.23172,17f30f87ac01ffbad7f102dba63eedc5373cb63a,437c7968d2b70ad5592603635174c4643e4c0f2e
scene_1_1_true_gain2_no_backtrack_balanced_02495,,,,8,9.396743,4.925516,7.127104,2.201588,2.201588,,0.171935,0.449242,23.526353,17.982834,13.043037,1.378731,0,0.0,0.0,0,2.613462,,,132.0,45.0,96.23172,8be98c42da4b39c8ae3ee90c5b04dd2e38fccd50,c559e5a93eda133cf3f0204351f6096e9d8a9508
scene_1_1_true_gain2_no_backtrack_balanced_02496,,,,8,17.261082,4.964872,7.127104,2.162232,2.162232,,0.126772,0.442411,41.406199,37.974379,36.278292,1.046752,0,0.0,0.0,0,8.811314,,,135.0,65.0,36.050419,8fb65fce1d2da9b288b174a17d5711cc7d65884a,693815d2b87264b636f96f9de8f10573b611a3e4
scene_1_1_true_gain2_no_backtrack_balanced_02497,,,,10,12.738417,4.16429,7.127104,2.962814,2.962814,,0.098701,0.449242,31.521239,26.272758,21.59563,1.216578,0,0.0,0.0,0,1.716515,,,135.0,45.0,99.570974,a3cd18767c6e692b7d118be1dc855ffb4e99e89e,4a9f2dcd6517e243064da2b8f1f4a59a66b488f0
scene_1_1_true_gain2_no_backtrack_balanced_02498,,,,8,17.741289,4.798881,7.127104,2.328224,2.328224,,0.2491,0.447217,41.635632,39.030836,36.982211,1.055395,0,0.0,0.0,0,9.830062,,,93.0,45.0,26.064421,4c98cdbf32ebb7a55f3407ef6a65893d2721ecff,d24877049416dedbd67531781dbf50049e6acec8
scene_1_1_true_gain2_no_backtrack_balanced_02499,,,,10,11.926506,4.374049,7.127104,2.753055,2.753055,,0.098701,0.449242,32.206255,25.311555,21.068085,1.201417,0,0.0,0.0,0,1.716515,,,195.0,45.0,99.570974,e351749b201c2e869a447b284d924bfd6b22a72e,fe3db39589429e60818fbc52bbd21290ef15850e
scene_1_1_true_gain2_no_backtrack_balanced_02500,,,,9,11.792838,4.307293,7.127104,2.819811,2.819811,,0.098701,0.449242,29.910083,22.661743,16.513239,1.372338,1,0.062873,0.062873,0,1.716606,,,195.0,45.0,99.570974,42caa7bce9b5e1cfe5e0c21321048e0f81b0570a,0aedb619b48966034331ddbcbaea03ff934058f0
scene_1_1_true_gain2_no_backtrack_balanced_02501,,,,8,15.277281,4.68677,7.127104,2.440334,2.440334,,0.078369,0.449242,37.764523,33.610018,31.117968,1.080084,0,0.0,0.0,0,5.1725,,,105.0,45.0,97.259537,749af796e40770c010bae6ed82ef6e25b30a576e,e2a07a5cf616ae2a097791a4a9832df814cb6b67
scene_1_1_true_gain2_no_backtrack_balanced_02502,,,,9,8.06138,4.737159,7.127104,2.389946,2.389946,,0.131688,0.449242,22.679338,17.530873,12.054633,1.454285,0,0.0,0.0,0,1.716606,,,135.0,0.0,99.570974,ac49408746f4926376037396e54b489bb063123f,6b6025faec9ffee1e628d0ee7f1321c6f80e711f
