trajectory_id,num_keyframes,duration_sec,start_raw_score,end_raw_score,endpoint_node_id,endpoint_dataset_id,endpoint_sample_index,endpoint_point_index,path_xyz_length,net_xyz_distance,max_xyz_step,mean_xyz_step,total_yaw_change,max_yaw_step,total_pitch_change,max_pitch_step,max_abs_score_step,physical_path_signature
scene_1_1_traj_00035,80,15.8,7.127104,3.372422,scene_1|scene_1.1_y01_medium_dense_y01_0p60|231|11,scene_1.1_y01_medium_dense_y01_0p60,231,11,31.060567,31.060567,0.393173,0.393172,15.0,0.189874,45.0,0.569621,0.14724,259e6bb0a56fc2a1030b70fbdded297eb33f23ed
scene_1_1_traj_00036,80,15.8,7.127104,2.809822,scene_1|scene_1.1_y01_medium_dense_y01_0p60|2024|92,scene_1.1_y01_medium_dense_y01_0p60,2024,92,47.174397,47.174397,0.597145,0.597144,135.0,1.708861,90.0,1.139241,0.169302,6db75720d9d2c3882157d9088e7fb248eecc0045
scene_1_1_traj_00037,80,15.8,7.127104,3.240578,scene_1|scene_1.1_y04_medium_dense_y04_4p39|7105|8,scene_1.1_y04_medium_dense_y04_4p39,7105,8,46.621199,46.621199,0.590143,0.590142,135.0,1.708861,90.0,1.139241,0.15241,ade2b536df6092f4653522f7080873577577f41f
scene_1_1_traj_00038,80,15.8,7.127104,4.001344,scene_1|scene_1.1_y03_medium_dense_y03_3p13|4788|8,scene_1.1_y03_medium_dense_y03_3p13,4788,8,46.56982,46.56982,0.589492,0.589491,165.0,2.088608,45.0,0.569621,0.122577,7f258c515e7bae83790dbefe8741e4a27f45ceab
scene_1_1_traj_00039,80,15.8,7.127104,4.633204,scene_1|scene_1.1_y04_medium_dense_y04_4p39|8072|52,scene_1.1_y04_medium_dense_y04_4p39,8072,52,36.490536,36.490536,0.461906,0.461906,165.0,2.088608,45.0,0.569621,0.097798,6accaba6f7e3fe3b7fa5d78b617bc9e7c0603763
scene_1_1_traj_00040,80,15.8,7.127104,4.249094,scene_1|scene_1.1_y04_medium_dense_y04_4p39|8489|71,scene_1.1_y04_medium_dense_y04_4p39,8489,71,46.96201,46.96201,0.594457,0.594456,105.0,1.329114,45.0,0.569621,0.112861,e3e33a6bd3bda78dd30cd0f3b8509787c03fe7f2
scene_1_1_traj_00041,80,15.8,7.127104,4.480968,scene_1|scene_1.1_y02_medium_dense_y02_1p86|3397|50,scene_1.1_y02_medium_dense_y02_1p86,3397,50,46.704502,46.704502,0.591197,0.591196,135.0,1.708861,45.0,0.569621,0.103768,2bd9460f09a3d508eb8ef27846bc30c80f75f632
scene_1_1_traj_00042,80,15.8,7.127104,3.382613,scene_1|scene_1.1_y02_medium_dense_y02_1p86|3868|71,scene_1.1_y02_medium_dense_y02_1p86,3868,71,46.893811,46.893811,0.593593,0.593593,45.0,0.569621,45.0,0.569621,0.14684,dcb67322068e0ede77464a3e25c1cbbcd3a2cd7a
scene_1_1_traj_00043,80,15.8,7.127104,3.326153,scene_1|scene_1.1_y03_medium_dense_y03_3p13|6634|92,scene_1.1_y03_medium_dense_y03_3p13,6634,92,47.174665,47.174665,0.597149,0.597148,45.0,0.569621,45.0,0.569621,0.149054,936f944b4ba86f7df86fad80fdc25426ed48d4c4
scene_1_1_traj_00044,80,15.8,7.127104,5.641553,scene_1|scene_1.1_y02_medium_dense_y02_1p86|4319|92,scene_1.1_y02_medium_dense_y02_1p86,4319,92,47.157567,47.157567,0.596932,0.596931,135.0,1.708861,0.0,0.0,0.058256,0055b1f8119b7691b50e359d836359b88660ed8e
