trajectory_id,max_mid_nearest_legal_xyz_dist,mean_mid_nearest_legal_xyz_dist,p95_mid_nearest_legal_xyz_dist,max_any_nearest_legal_xyz_dist,mid_keyframe_frac_gt_0.5m,mid_keyframe_frac_gt_1m,mid_keyframe_frac_gt_1.5m,mid_keyframe_frac_gt_2m,mid_keyframe_frac_gt_2.5m,risk_label
scene_1_1_traj_02106,2.6603776712450147,1.50537431687286,2.497872435257868,2.6603776712450147,0.9487179487179487,0.7307692307692307,0.48717948717948717,0.28205128205128205,0.05128205128205128,very_high_proxy_risk
scene_1_1_traj_02107,2.623904456908073,1.5137601147257906,2.523088635299996,2.623904456908073,0.9743589743589743,0.6923076923076923,0.48717948717948717,0.23076923076923078,0.10256410256410256,very_high_proxy_risk
scene_1_1_traj_02108,2.623459465644181,1.5129195766805743,2.5227182018368453,2.623459465644181,0.9743589743589743,0.6923076923076923,0.48717948717948717,0.23076923076923078,0.10256410256410256,very_high_proxy_risk
scene_1_1_traj_02109,2.677223126562679,1.5140399305626477,2.456233250936317,2.677223126562679,0.9743589743589743,0.717948717948718,0.46153846153846156,0.28205128205128205,0.05128205128205128,very_high_proxy_risk
scene_1_1_traj_02110,2.623904456908073,1.5137601147257906,2.523088635299996,2.623904456908073,0.9743589743589743,0.6923076923076923,0.48717948717948717,0.23076923076923078,0.10256410256410256,very_high_proxy_risk
scene_1_1_traj_02111,2.623459465644181,1.5129195766805743,2.5227182018368453,2.623459465644181,0.9743589743589743,0.6923076923076923,0.48717948717948717,0.23076923076923078,0.10256410256410256,very_high_proxy_risk
scene_1_1_traj_02112,2.623459465644181,1.5129195766805743,2.5227182018368453,2.623459465644181,0.9743589743589743,0.6923076923076923,0.48717948717948717,0.23076923076923078,0.10256410256410256,very_high_proxy_risk
scene_1_1_traj_02113,2.6611715379601244,1.5135131534063941,2.537790091748685,2.6611715379601244,0.9743589743589743,0.717948717948718,0.48717948717948717,0.3076923076923077,0.07692307692307693,very_high_proxy_risk
scene_1_1_traj_02114,2.597606406654605,1.4591371397436181,2.4819848210335365,2.597606406654605,0.9230769230769231,0.717948717948718,0.46153846153846156,0.23076923076923078,0.05128205128205128,very_high_proxy_risk
scene_1_1_traj_02115,2.6016908911915237,1.5128522413425243,2.576602339572455,2.6016908911915237,0.9743589743589743,0.717948717948718,0.48717948717948717,0.23076923076923078,0.07692307692307693,very_high_proxy_risk
scene_1_1_traj_02116,2.717368613823684,1.393522291647647,2.588467324948284,2.717368613823684,0.8205128205128205,0.6410256410256411,0.46153846153846156,0.28205128205128205,0.10256410256410256,very_high_proxy_risk
scene_1_1_traj_02117,2.7173686138236834,1.3935222916476468,2.5884673249482835,2.7173686138236834,0.8205128205128205,0.6410256410256411,0.46153846153846156,0.28205128205128205,0.10256410256410256,very_high_proxy_risk
scene_1_1_traj_02118,2.6516922987590488,1.455797219977661,2.4520933583513482,2.6516922987590488,0.9487179487179487,0.6923076923076923,0.46153846153846156,0.2564102564102564,0.05128205128205128,very_high_proxy_risk
scene_1_1_traj_02119,2.6516922987590488,1.455797219977661,2.452093358351348,2.6516922987590488,0.9487179487179487,0.6923076923076923,0.46153846153846156,0.2564102564102564,0.05128205128205128,very_high_proxy_risk
scene_1_1_traj_02120,2.6516922987590488,1.455797219977661,2.452093358351348,2.6516922987590488,0.9487179487179487,0.6923076923076923,0.46153846153846156,0.2564102564102564,0.05128205128205128,very_high_proxy_risk
scene_1_1_traj_02121,2.6415998471256104,1.5069641800992533,2.504806412100869,2.6415998471256104,0.9487179487179487,0.717948717948718,0.48717948717948717,0.28205128205128205,0.05128205128205128,very_high_proxy_risk
scene_1_1_traj_02122,2.566333691938375,1.3853116629502558,2.4396708917998864,2.566333691938375,0.9230769230769231,0.6410256410256411,0.46153846153846156,0.23076923076923078,0.05128205128205128,very_high_proxy_risk
scene_1_1_traj_02123,2.7221196960227614,1.4683568814868588,2.6305444035101115,2.7221196960227614,0.8974358974358975,0.6666666666666666,0.48717948717948717,0.28205128205128205,0.10256410256410256,very_high_proxy_risk
scene_1_1_traj_02124,2.722119696022761,1.4683568814868588,2.630544403510111,2.722119696022761,0.8974358974358975,0.6666666666666666,0.48717948717948717,0.28205128205128205,0.10256410256410256,very_high_proxy_risk
scene_1_1_traj_02125,2.722119696022761,1.4683568814868588,2.630544403510111,2.722119696022761,0.8974358974358975,0.6666666666666666,0.48717948717948717,0.28205128205128205,0.10256410256410256,very_high_proxy_risk
scene_1_1_traj_02126,2.6564845912096025,1.508647289968834,2.4847000552294523,2.6564845912096025,0.9743589743589743,0.7692307692307693,0.48717948717948717,0.28205128205128205,0.05128205128205128,very_high_proxy_risk
scene_1_1_traj_02127,2.558568368687858,1.3874561492269537,2.477114026452116,2.558568368687858,0.8974358974358975,0.6666666666666666,0.46153846153846156,0.2564102564102564,0.05128205128205128,very_high_proxy_risk
scene_1_1_traj_02128,2.6682185314960716,1.5053272884503908,2.5664453372930356,2.6682185314960716,0.9487179487179487,0.717948717948718,0.46153846153846156,0.2564102564102564,0.07692307692307693,very_high_proxy_risk
scene_1_1_traj_02129,2.6433707930059573,1.5068336293099727,2.5493739212946296,2.6433707930059573,0.9487179487179487,0.717948717948718,0.48717948717948717,0.2564102564102564,0.07692307692307693,very_high_proxy_risk
scene_1_1_traj_02130,2.558489198180256,1.3864427434495472,2.476418626682041,2.558489198180256,0.8974358974358975,0.6666666666666666,0.46153846153846156,0.2564102564102564,0.05128205128205128,very_high_proxy_risk
scene_1_1_traj_02131,2.670961256047539,1.5175349532667735,2.4691687470033186,2.670961256047539,0.9743589743589743,0.7435897435897436,0.48717948717948717,0.28205128205128205,0.05128205128205128,very_high_proxy_risk
scene_1_1_traj_02132,2.670961256047539,1.5175349532667735,2.4691687470033186,2.670961256047539,0.9743589743589743,0.7435897435897436,0.48717948717948717,0.28205128205128205,0.05128205128205128,very_high_proxy_risk
scene_1_1_traj_02133,2.6709612560475393,1.5175349532667728,2.469168747003315,2.6709612560475393,0.9743589743589743,0.7435897435897436,0.48717948717948717,0.28205128205128205,0.05128205128205128,very_high_proxy_risk
scene_1_1_traj_02134,2.6709612560475393,1.5175349532667728,2.469168747003315,2.6709612560475393,0.9743589743589743,0.7435897435897436,0.48717948717948717,0.28205128205128205,0.05128205128205128,very_high_proxy_risk
scene_1_1_traj_02135,2.5953834421243136,1.455699014777009,2.4993531330930594,2.5953834421243136,0.9230769230769231,0.6666666666666666,0.46153846153846156,0.23076923076923078,0.05128205128205128,very_high_proxy_risk
scene_1_1_traj_02136,2.669373780615606,1.5060987518454654,2.5665561942414583,2.669373780615606,0.9487179487179487,0.717948717948718,0.48717948717948717,0.2564102564102564,0.07692307692307693,very_high_proxy_risk
scene_1_1_traj_02137,2.6560192352161187,1.505324969695213,2.5041155647137003,2.6560192352161187,0.9487179487179487,0.7435897435897436,0.48717948717948717,0.28205128205128205,0.05128205128205128,very_high_proxy_risk
