trajectory_id,source_trajectory_id,target_anchor_rank,keyframe_count,duration_sec,start_score,end_score,score_gain,min_real_score_step,max_real_score_step,route_objective,path_xyz_length,net_xyz_distance,path_to_net_ratio,target_distance_increase_step_count,target_distance_total_increase,planning_target_distance_total_increase,near_revisit_pair_count,minimum_nonadjacent_distance,total_yaw_change,total_pitch_change,max_control_turn_deg,physical_geometry_signature,real_node_path_signature
scene_1_3_true_gain2_distance10_01522,scene_1_3_true_gain2_no_backtrack_balanced_01522,1,10,17.622448,4.572392,6.702875,2.130484,0.089247,0.449628,45.179472,38.769385,27.425307,1.413635,0,0.0,0.0,0,3.053976,87.5,0.0,95.694382,d4f848b142cbef90de2a851260151094f13e46f7,394849a4d139bb55a3155a44544e69e5c9957ddf
scene_1_3_true_gain2_distance10_01523,scene_1_3_true_gain2_no_backtrack_balanced_01523,1,9,17.790036,4.572392,6.702875,2.130484,0.079602,0.419231,45.179842,38.933991,27.425307,1.419637,0,0.0,0.0,0,6.63113,139.5,0.0,92.880111,51a053971057404dc29a6ca9e1cd4fda11703b5c,e7e9bad4704bca59baf82c633082500552ed35fd
scene_1_3_true_gain2_distance10_01524,scene_1_3_true_gain2_no_backtrack_balanced_01524,1,9,17.94545,4.572392,6.702875,2.130484,0.05866,0.44018,45.180675,39.479989,27.425307,1.439546,0,0.0,0.0,0,5.131975,139.5,20.0,90.0,4525b1b7fe3a44d2faf173d2ec0d92fe3a814449,19793e4e30665ee1e94e8fcbe63c0035a19376e8
scene_1_3_true_gain2_distance10_01525,scene_1_3_true_gain2_no_backtrack_balanced_01525,1,9,17.964408,4.572392,6.702875,2.130484,0.052124,0.449628,45.183291,39.521698,27.425307,1.441067,0,0.0,0.0,0,5.098411,103.5,0.0,95.694382,1e84a25f65c1c448ef83b8fb1f66199cf967c81e,5cf98b2dad04edd6440fe9c8ed1e7485705eaf6c
scene_1_3_true_gain2_distance10_01526,scene_1_3_true_gain2_no_backtrack_balanced_01526,1,9,18.016783,4.572392,6.702875,2.130484,0.056559,0.449628,45.183363,39.636922,27.425307,1.445268,0,0.0,0.0,0,6.037626,121.5,0.0,90.0,7b4470b27fe38e1812cd088cf42cf6cd866d6e91,f485424287dbf3b3adf3c767ba28a116261ee863
scene_1_3_true_gain2_distance10_01527,scene_1_3_true_gain2_no_backtrack_balanced_01527,1,9,17.926981,4.572392,6.702875,2.130484,0.081663,0.378044,45.185135,39.439359,27.425307,1.438064,0,0.0,0.0,0,6.63113,121.5,0.0,90.0,9b2d3769d94bd745bbae770549494eadb385d440,e5d6dff971909d9e71607e17889ce2f400ceded5
scene_1_3_true_gain2_distance10_01528,scene_1_3_true_gain2_no_backtrack_balanced_01528,1,10,17.752496,4.572392,6.702875,2.130484,0.082214,0.419231,45.187666,38.851405,27.425307,1.416626,0,0.0,0.0,0,2.772582,139.5,0.0,90.0,f49356993e7baba4bf1c465d1f53e45d23458557,fff7c5bd0d8864fe59dba7a675eaa13edd3b442f
scene_1_3_true_gain2_distance10_01529,scene_1_3_true_gain2_no_backtrack_balanced_01529,1,10,17.61844,4.572392,6.702875,2.130484,0.082214,0.449389,45.188061,38.760567,27.425307,1.413314,0,0.0,0.0,0,2.772582,94.5,0.0,90.0,2f27086c3ac3bd22af13331dc91b13471af589f6,9fd0232d2b1beb0133790a173298328bb9a2c630
scene_1_3_true_gain2_distance10_01530,scene_1_3_true_gain2_no_backtrack_balanced_01530,1,9,17.96011,4.572392,6.702875,2.130484,0.081663,0.341733,45.189103,39.512242,27.425307,1.440722,0,0.0,0.0,0,6.413892,148.5,0.0,90.0,d6187fb487bd51e6ab64892897daf06eac89efbf,7c5d940d8bf1e522c28f143062a5c4c7bbd1c09c
scene_1_3_true_gain2_distance10_01531,scene_1_3_true_gain2_no_backtrack_balanced_01531,1,9,17.899824,4.572392,6.702875,2.130484,0.098553,0.443924,45.190203,39.175525,27.425307,1.428444,0,0.0,0.0,0,6.198504,139.5,0.0,90.0,a5b65b21fe99bc9e63995d3cda9fc741054c9f36,e8eab8d392bcff25dae563f4b06e23985af58327
